a number of,some
whomsoever,whomever
whosoever,whoever
with a view to,"by, from"
with reference to,about
with regard to,about
with respect to,"on, about"
with the exception of,except for
with the minimum of delay,quickly
witnessed,saw
you are requested,please
your attention is drawn,"please see, please note"
your office,you
